BOTTEGAVENETA,織紋皮革2 Way Shoulder手挽肩背兩用袋啡色,等級 A,"HKD 7,980"
Tory Burch,牛皮皮革Tote Bag手挽袋/肩背袋紫紅色,等級 C,HKD 980
COACH,牛皮皮革Shoulder Bag金扣肩背袋裸色,等級 S,"HKD 1,680"
COACH,牛皮皮革Shoulder Tote銀扣肩背袋啡色,等級 A,"HKD 1,280"
COACH,牛皮皮革2 Way Shoulder金扣手挽肩背兩用袋黑色,等級 S,"HKD 1,580"
Michael Kors,牛皮皮革Chain Shoulder金扣肩背袋黑色,等級 S,"HKD 1,680"
LOUIS VUITTON,帆布Tahitienne Cabas PM金扣肩背袋粉紅色,等級 C,"HKD 3,980"
HERMES,Epsom皮革Kelly 35銀扣手挽肩背兩用袋灰色,等級 B,"HKD 94,800"
HERMES,帆布Garden File PM銀扣手挽肩背兩用袋米色,新品,"HKD 26,800"
HERMES,Clemence皮革Jypsiere 31銀扣肩背袋寶石紅色,等級 B,"HKD 34,800"
HERMES,帆布Garden Party TPM銀扣手挽袋橙色,等級 B,"HKD 15,800"
HERMES,Clemence皮革24/24銀扣手挽肩背兩用袋黑色,等級 B,"HKD 73,800"
HERMES,Togo皮革Birkin 30銀扣手挽袋藍色,等級 C,"HKD 95,800"
HERMES,Swift皮革Bolide 27銀扣手挽肩背兩用袋紅色,等級 B,"HKD 39,800"
GUCCI,牛皮/蛇皮皮革Chain Shoulder金扣肩背袋粉紅色,等級 A,"HKD 7,980"
CHANEL,菱格漆皮皮革Tote Bag銀扣手挽袋黑色,等級 A,"HKD 10,800"
PRADA,牛皮皮革2 Way Shoulder銀扣手挽肩背兩用袋,等級 B,"HKD 4,980"
LOUIS VUITTON,Monogram Blanc Sabbia Besace金扣肩背袋米色,等級 C,"HKD 7,980"
Dior,牛皮皮革30 Montaigne金扣肩背袋黑色,等級 A,"HKD 22,800"
HERMES,帆布Vintage Herbag PM銀扣手挽肩背兩用袋米色,等級 C,"HKD 6,980"
BALENCIAGA,羊皮皮革Part Time手腕肩背兩用袋墨綠色,等級 C,"HKD 3,380"
BALENCIAGA,羊皮皮革Part Time手腕肩背兩用袋墨綠色,等級 C,"HKD 3,980"
CHANEL,羊皮皮革Vintage Chain Shoulder金扣鏈帶肩背袋黑色,等級 B,"HKD 29,800"
LOUIS VUITTON,Damier Neverfull GM金扣手挽袋啡色,等級 A,"HKD 9,980"
CHANEL,菱格羊皮皮革Chain Shoulder銀扣肩背袋藍色,等級 B,"HKD 19,800"
Valentino,帆布2 Way Shoulder金扣手挽肩背兩用袋粉紅色,等級 A,"HKD 2,980"
GUCCI,牛皮皮革Shoulder Bag金扣肩背袋啡色,等級 C,"HKD 3,280"
CHANEL,菱格牛皮皮革Chain Shoulder金扣肩背袋啡色,等級 A,"HKD 15,800"
LOUIS VUITTON,Vernis Lead MM金扣手挽袋米色,等級 B,"HKD 3,980"
